monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372990763411
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.DebugLast",1372990767052
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1372990767227
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPBrowserOutput,org.eclipse.php.perspective,"view",1372990769632
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.debug.ui.DebugPerspective,"view",1372990778969
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.VariableView,org.eclipse.debug.ui.DebugPerspective,"view",1372990783453
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.BreakpointView,org.eclipse.debug.ui.DebugPerspective,"view",1372990794845
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ContentOutline,org.eclipse.debug.ui.DebugPerspective,"view",1372990803311
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.VariableView,org.eclipse.debug.ui.DebugPerspective,"view",1372990806493
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.debug.ui.DebugPerspective,"view",1372990809428
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372990815902
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.debug.ui.DebugPerspective,"view",1372990817613
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.debug.ui.DebugPerspective,"view",1372990822489
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372990843641
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.Resume",1372990844720
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1372990881220
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.debug.ui.DebugPerspective,"view",1372990883785
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1372990890268
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372990893064
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ContentOutline,org.eclipse.php.perspective,"view",1372990919541
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ContentOutline,org.eclipse.php.perspective,"view",1372990920708
org.zend.viewsUsageMonitor,activated,org.eclipse.mylyn.tasks.ui.views.tasks,org.eclipse.php.perspective,"view",1372990927653
